"_","Id","Original_Opportunity__c","Original_Opportunity__r","Original_Opportunity__r.CloseDate","CurrencyIsoCode"
"[Asset]","02ifJ000000D7bdQAC","006fJ000006OiSiQAK","[Opportunity]","2025-03-31","USD"
"[Asset]","02ifJ000000D7beQAC","006fJ000006OfxUQAS","[Opportunity]","2024-09-30","USD"
"[Asset]","02ifJ000000D7dBQAS","006fJ000006OispQAC","[Opportunity]","2023-05-09","USD"
"[Asset]","02ifJ000000D7dCQAS","006fJ000006OiznQAC","[Opportunity]","2024-08-08","USD"
"[Asset]","02ifJ000000D7dEQAS","006fJ000006Oir7QAC","[Opportunity]","2025-03-24","USD"
"[Asset]","02ifJ000000D7dFQAS","006fJ000006Of4UQAS","[Opportunity]","2025-02-28","USD"
"[Asset]","02ifJ000000D7dGQAS","006fJ000006Oi4VQAS","[Opportunity]","2025-03-07","USD"
"[Asset]","02ifJ000000D7enQAC","006fJ000006OispQAC","[Opportunity]","2023-05-09","USD"
"[Asset]","02ifJ000000D7gPQAS","006fJ000006OispQAC","[Opportunity]","2023-05-09","USD"
"[Asset]","02ifJ000000D7gQQAS","006fJ000006OiSsQAK","[Opportunity]","2024-07-29","USD"
"[Asset]","02ifJ000000D7gRQAS","006fJ000006OinCQAS","[Opportunity]","2024-05-06","USD"
"[Asset]","02ifJ000000D7gSQAS","006fJ000006OimoQAC","[Opportunity]","2024-07-11","USD"
"[Asset]","02ifJ000000D7gTQAS","006fJ000006Oi4mQAC","[Opportunity]","2025-05-17","USD"
"[Asset]","02ifJ000000D7gUQAS","006fJ000006OiStQAK","[Opportunity]","2025-05-07","USD"
"[Asset]","02ifJ000000D7i1QAC","006fJ000006Of4JQAS","[Opportunity]","2024-12-16","EUR"
"[Asset]","02ifJ000000D7i2QAC","006fJ000006OimDQAS","[Opportunity]","2024-12-12","USD"
"[Asset]","02ifJ000000D7i3QAC","006fJ000006OfxJQAS","[Opportunity]","2025-02-24","USD"
"[Asset]","02ifJ000000D7jdQAC","006fJ000006Of4JQAS","[Opportunity]","2024-12-16","EUR"
"[Asset]","02ifJ000000D7lFQAS","006fJ000006Of4JQAS","[Opportunity]","2024-12-16","EUR"
"[Asset]","02ifJ000000D7mrQAC","006fJ000006Of4JQAS","[Opportunity]","2024-12-16","EUR"
"[Asset]","02ifJ000000D7msQAC","006fJ000006OissQAC","[Opportunity]","2025-03-04","EUR"
"[Asset]","02ifJ000000D7mtQAC","006fJ000006OimOQAS","[Opportunity]","2024-12-18","USD"
"[Asset]","02ifJ000000D7muQAC","006fJ000006Of3SQAS","[Opportunity]","2025-02-18","USD"
"[Asset]","02ifJ000000D7oTQAS","006fJ000006OerdQAC","[Opportunity]","2024-05-09","USD"
"[Asset]","02ifJ000000D7q5QAC","006fJ000006OerdQAC","[Opportunity]","2024-05-09","USD"
"[Asset]","02ifJ000000D7q6QAC","006fJ000006OimUQAS","[Opportunity]","2023-06-01","EUR"
"[Asset]","02ifJ000000D7q7QAC","006fJ000006OjB1QAK","[Opportunity]","2024-09-30","EUR"
"[Asset]","02ifJ000000D7q8QAC","006fJ000006OimzQAC","[Opportunity]","2024-09-06","USD"
"[Asset]","02ifJ000000D7rhQAC","006fJ000006OerdQAC","[Opportunity]","2024-05-09","USD"
"[Asset]","02ifJ000000D7riQAC","006fJ000006OiT4QAK","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D7rjQAC","006fJ000006OizgQAC","[Opportunity]","2025-01-31","USD"
"[Asset]","02ifJ000000D7rkQAC","006fJ000006OjB0QAK","[Opportunity]","2025-03-12","USD"
"[Asset]","02ifJ000000D7rlQAC","006fJ000006OiSlQAK","[Opportunity]","2025-04-04","USD"
"[Asset]","02ifJ000000D7tJQAS","006fJ000006Of4wQAC","[Opportunity]","2023-05-25","USD"
"[Asset]","02ifJ000000D7tLQAS","006fJ000006OitaQAC","[Opportunity]","2024-11-18","USD"
"[Asset]","02ifJ000000D7tMQAS","006fJ000006Oir7QAC","[Opportunity]","2025-03-24","USD"
"[Asset]","02ifJ000000D7tNQAS","006fJ000006Oiv1QAC","[Opportunity]","2024-11-06","USD"
"[Asset]","02ifJ000000D7tOQAS","006fJ000006OiwAQAS","[Opportunity]","2024-09-27","USD"
"[Asset]","02ifJ000000D7tPQAS","006fJ000006OivNQAS","[Opportunity]","2025-03-07","USD"
"[Asset]","02ifJ000000D7tQQAS","006fJ000006OijZQAS","[Opportunity]","2025-03-28","USD"
"[Asset]","02ifJ000000D7tRQAS","006fJ000006OjBPQA0","[Opportunity]","2025-03-17","USD"
"[Asset]","02ifJ000000D7tSQAS","006fJ000006OizFQAS","[Opportunity]","2025-05-07","USD"
"[Asset]","02ifJ000000D7tTQAS","006fJ000006OjBEQA0","[Opportunity]","2025-03-31","USD"
"[Asset]","02ifJ000000D7uvQAC","006fJ000006OimUQAS","[Opportunity]","2023-06-01","EUR"
"[Asset]","02ifJ000000D7uwQAC","006fJ000006Of44QAC","[Opportunity]","2024-12-10","USD"
"[Asset]","02ifJ000000D7uxQAC","006fJ000006Oin8QAC","[Opportunity]","2024-12-03","USD"
"[Asset]","02ifJ000000D7uyQAC","006fJ000006OisoQAC","[Opportunity]","2024-05-17","USD"
"[Asset]","02ifJ000000D7uzQAC","006fJ000006OeqZQAS","[Opportunity]","2024-05-27","USD"
"[Asset]","02ifJ000000D7wXQAS","006fJ000006OivyQAC","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D7wYQAS","006fJ000006OiT4QAK","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D7wZQAS","006fJ000006OirsQAC","[Opportunity]","2025-01-22","USD"
"[Asset]","02ifJ000000D7waQAC","006fJ000006Of3aQAC","[Opportunity]","2024-11-18","USD"
"[Asset]","02ifJ000000D7wbQAC","006fJ000006OjASQA0","[Opportunity]","2024-08-22","USD"
"[Asset]","02ifJ000000D7wcQAC","006fJ000006OfxBQAS","[Opportunity]","2025-01-21","USD"
"[Asset]","02ifJ000000D7y9QAC","006fJ000006OivyQAC","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D7yAQAS","006fJ000006OgmcQAC","[Opportunity]","2024-09-30","USD"
"[Asset]","02ifJ000000D7zlQAC","006fJ000006OivyQAC","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D7znQAC","006fJ000006Oij6QAC","[Opportunity]","2025-02-28","USD"
"[Asset]","02ifJ000000D7zoQAC","006fJ000006OiSlQAK","[Opportunity]","2025-04-04","USD"
"[Asset]","02ifJ000000D7zpQAC","006fJ000006OiuSQAS","[Opportunity]","2025-06-03","EUR"
"[Asset]","02ifJ000000D81NQAS","006fJ000006OivyQAC","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D81OQAS","006fJ000006OiKxQAK","[Opportunity]","2024-12-11","USD"
"[Asset]","02ifJ000000D82zQAC","006fJ000006OivyQAC","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D830QAC","006fJ000006Of4hQAC","[Opportunity]","2024-11-04","EUR"
"[Asset]","02ifJ000000D831QAC","006fJ000006Of4hQAC","[Opportunity]","2024-11-04","EUR"
"[Asset]","02ifJ000000D832QAC","006fJ000006OimdQAC","[Opportunity]","2024-05-07","USD"
"[Asset]","02ifJ000000D833QAC","006fJ000006Oiu8QAC","[Opportunity]","2024-06-20","USD"
"[Asset]","02ifJ000000D834QAC","006fJ000006OerFQAS","[Opportunity]","2024-10-09","USD"
"[Asset]","02ifJ000000D835QAC","006fJ000006OitaQAC","[Opportunity]","2024-11-18","USD"
"[Asset]","02ifJ000000D836QAC","006fJ000006OjAHQA0","[Opportunity]","2024-07-12","USD"
"[Asset]","02ifJ000000D837QAC","006fJ000006OgmAQAS","[Opportunity]","2024-06-25","USD"
"[Asset]","02ifJ000000D838QAC","006fJ000006OjAVQA0","[Opportunity]","2024-07-18","USD"
"[Asset]","02ifJ000000D84dQAC","006fJ000006Of3mQAC","[Opportunity]","2024-09-12","USD"
"[Asset]","02ifJ000000D84eQAC","006fJ000006OitaQAC","[Opportunity]","2024-11-18","USD"
"[Asset]","02ifJ000000D84fQAC","006fJ000006OjBLQA0","[Opportunity]","2024-12-11","USD"
"[Asset]","02ifJ000000D84gQAC","006fJ000006Of3vQAC","[Opportunity]","2025-02-20","USD"
"[Asset]","02ifJ000000D84hQAC","006fJ000006Oiv1QAC","[Opportunity]","2024-11-06","USD"
"[Asset]","02ifJ000000D84iQAC","006fJ000006OjAGQA0","[Opportunity]","2024-12-27","USD"
"[Asset]","02ifJ000000D86EQAS","006fJ000006OgmPQAS","[Opportunity]","2024-12-09","USD"
